# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.127999999244924
512 0.5 0.127701720430688
1024 1 0.127415650779608
1536 1.5 0.12714747154501
2048 2 0.126895498937611
2560 2.5 0.126661581498614
3072 3 0.126448194100991
3584 3.5 0.126271441584711
4096 4 0.126127586528653
4608 4.5 0.126017351037597
5120 5 0.125940852526181
5632 5.5 0.125897524723522
6144 6 0.125885992092363
6656 6.5 0.125903948103828
7168 7 0.125948293198201
7680 7.5 0.12601550658927
8192 8 0.126101911291518
8704 8.5 0.126203598021012
9216 9 0.126316312765494
9728 9.5 0.12643584105674
10240 10 0.126558742302926
10752 10.5 0.126682489912004
11264 11 0.126804606797394
11776 11.5 0.126921964013433
12288 12 0.127031587289173
12800 12.5 0.127132078854335
13312 13 0.127223480369026
13824 13.5 0.127305623226006
14336 14 0.127377336290636
14848 14.5 0.127437715478999
15360 15 0.127487332240291
15872 15.5 0.127527322358136
16384 16 0.127557815877311
16896 16.5 0.127578305969796
17408 17 0.12758936983741
17920 17.5 0.127592934923871
18432 18 0.127590619672958
18944 18.5 0.127582647778398
19456 19 0.127568798532655
19968 19.5 0.127549801114813
20480 20 0.127527245307253
20992 20.5 0.127502436655727
21504 21 0.127475835654203
22016 21.5 0.127447470984267
22528 22 0.127417393443588
23040 22.5 0.127385592819085
23552 23 0.127351786584829
24064 23.5 0.127315581625357
24576 24 0.127276842053931
25088 24.5 0.127235722819242
25600 25 0.127192201320162
26112 25.5 0.127145605996531
26624 26 0.12709480814855
27136 26.5 0.127039052677628
27648 27 0.126978552250525
28160 27.5 0.126914107628089
28672 28 0.126846142970462
29184 28.5 0.126774220043869
29696 29 0.12669743664034
30208 29.5 0.126615124987485
30720 30 0.126527227553573
31232 30.5 0.126434314529509
31744 31 0.126337352389064
32256 31.5 0.126237175574324
32768 32 0.126133928471278
33280 32.5 0.126027137413734
33792 33 0.125916555143163
34304 33.5 0.125802914673054
34816 34 0.12568770391375
35328 34.5 0.125572194990282
35840 35 0.125456777677162
36352 35.5 0.125341197119714
36864 36 0.125225338152206
37376 36.5 0.125109811250094
37888 37 0.124995899983012
38400 37.5 0.124884912679954
38912 38 0.124777429232519
39424 38.5 0.124673160910486
39936 39 0.124571625814586
40448 39.5 0.124473037452854
40960 40 0.124378470762282
41472 40.5 0.12428904118615
41984 41 0.124204921211104
42496 41.5 0.124125312969818
43008 42 0.124049496579786
43520 42.5 0.123977789995889
44032 43 0.123911264296162
44544 43.5 0.123850531014008
45056 44 0.123795097508684
45568 44.5 0.12374408701555
46080 45 0.123697362058399
46592 45.5 0.123655580697722
47104 46 0.123619197853014
47616 46.5 0.123587821175161
48128 47 0.12356074861358
48640 47.5 0.123537839652055
49152 48 0.123519475326355
49664 48.5 0.123505730137751
50176 49 0.123495991364863
50688 49.5 0.123489570061877
51200 50 0.123486424895187
51712 50.5 0.123486982011342
52224 51 0.123491295039456
52736 51.5 0.12349867781554
53248 52 0.1235083080851
53760 52.5 0.123520028572327
54272 53 0.123534314808281
54784 53.5 0.123551451246461
55296 54 0.12357098173887
55808 54.5 0.123592134825334
56320 55 0.123614625347267
56832 55.5 0.123638754930754
57344 56 0.123664745567555
57856 56.5 0.123692299707806
58368 57 0.123720963227238
58880 57.5 0.123750645900461
59392 58 0.1237814937381
59904 58.5 0.123813395426753
60416 59 0.123845979358967
60928 59.5 0.12387911496377
61440 60 0.12391306178707
61952 60.5 0.12394795127602
62464 61 0.123983392840432
62976 61.5 0.124018867865692
63488 62 0.124054357216158
64000 62.5 0.124090250621163
64512 63 0.124126668941809
65024 63.5 0.124163222352459
65536 64 0.124199539491798
66048 64.5 0.124235716668742
66560 65 0.124271999869914
67072 65.5 0.124308233551725
67584 66 0.124343955799864
68096 66.5 0.124378983768194
68608 67 0.124413581489657
69120 67.5 0.124447980332826
69632 68 0.124481999702174
70144 68.5 0.124515283923795
70656 69 0.124547710401926
71168 69.5 0.124579376413972
71680 70 0.124610331975522
72192 70.5 0.1246405608179
72704 71 0.124670154943592
73216 71.5 0.124699245227302
73728 72 0.124727719271198
74240 72.5 0.124755232306739
74752 73 0.124781622841931
75264 73.5 0.124807180012271
75776 74 0.124832353254803
76288 74.5 0.124857256498864
76800 75 0.124881580204167
77312 75.5 0.124904971720132
77824 76 0.12492740811753
78336 76.5 0.124949199179283
78848 77 0.124970696985039
79360 77.5 0.124992002405045
79872 78 0.125012898907041
80384 78.5 0.125033083094036
80896 79 0.125052518065148
81408 79.5 0.125071536403165
81920 80 0.12509050708377
82432 80.5 0.125109416101238
82944 81 0.125127911864093
83456 81.5 0.125145809529506
83968 82 0.125163396774781
84480 82.5 0.125181099533612
84992 83 0.125198943978718
85504 83.5 0.125216562769044
86016 84 0.125233748932961
86528 84.5 0.125250791936769
87040 85 0.125268131639684
87552 85.5 0.125285808787757
88064 86 0.125303455779644
88576 86.5 0.125320824908538
89088 87 0.125338146360322
89600 87.5 0.125355865456747
90112 88 0.125374120552469
90624 88.5 0.125392621930632
91136 89 0.125411056576759
91648 89.5 0.125429497526431
92160 90 0.125448324112254
92672 90.5 0.125467777404282
93184 91 0.125487705701402
93696 91.5 0.125507790279777
94208 92 0.125527941835424
94720 92.5 0.125548380037676
95232 93 0.125569343211981
95744 93.5 0.125590825302974
96256 94 0.125612636550429
96768 94.5 0.125634640201503
97280 95 0.125656855038723
97792 95.5 0.125679373171261
98304 96 0.125702266737994
98816 96.5 0.125725559976061
99328 97 0.125749201374772
99840 97.5 0.12577305515044
100352 98 0.125797014723758
100864 98.5 0.125821158694698
101376 99 0.125845700339561
101888 99.5 0.125870717197918
102400 100 0.125896015069628
102912 100.5 0.125921360944991
103424 101 0.125946795145801
103936 101.5 0.125972585931655
104448 102 0.125998885331581
104960 102.5 0.126025558446686
105472 103 0.126052387208635
105984 103.5 0.126079335048885
106496 104 0.126106546873022
107008 104.5 0.126134163887042
107520 105 0.126162212779067
108032 105.5 0.126190633002732
108544 106 0.126219343050368
109056 106.5 0.126248298178926
109568 107 0.126277535589061
110080 107.5 0.12630715528613
110592 108 0.126337221827228
