# Scalar ASCII output created by CarpetIOScalar
# created on cn132.nlhpc.cl by student32 on Nov 13 2023 at 23:16:23-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET/output-0000/tov_ET.par"
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.5 0.00127701720430688
1024 1 0.00127415650779608
1536 1.5 0.00127147471545011
2048 2 0.00126895498937611
2560 2.5 0.00126661581498614
3072 3 0.00126448194100991
3584 3.5 0.00126271441584711
4096 4 0.00126127586528653
4608 4.5 0.00126017351037598
5120 5 0.00125940852526181
5632 5.5 0.00125897524723523
6144 6 0.00125885992092363
6656 6.5 0.00125903948103828
7168 7 0.00125948293198201
7680 7.5 0.00126015506589271
8192 8 0.00126101911291518
8704 8.5 0.00126203598021012
9216 9 0.00126316312765494
9728 9.5 0.0012643584105674
10240 10 0.00126558742302926
10752 10.5 0.00126682489912004
11264 11 0.00126804606797394
11776 11.5 0.00126921964013433
12288 12 0.00127031587289174
12800 12.5 0.00127132078854335
13312 13 0.00127223480369027
13824 13.5 0.00127305623226006
14336 14 0.00127377336290636
14848 14.5 0.00127437715478999
15360 15 0.00127487332240291
15872 15.5 0.00127527322358136
16384 16 0.00127557815877311
16896 16.5 0.00127578305969797
17408 17 0.00127589369837411
17920 17.5 0.00127592934923872
18432 18 0.00127590619672959
18944 18.5 0.00127582647778398
19456 19 0.00127568798532655
19968 19.5 0.00127549801114814
20480 20 0.00127527245307253
20992 20.5 0.00127502436655727
21504 21 0.00127475835654203
22016 21.5 0.00127447470984268
22528 22 0.00127417393443588
23040 22.5 0.00127385592819085
23552 23 0.00127351786584829
24064 23.5 0.00127315581625357
24576 24 0.00127276842053931
25088 24.5 0.00127235722819243
25600 25 0.00127192201320162
26112 25.5 0.00127145605996532
26624 26 0.0012709480814855
27136 26.5 0.00127039052677628
27648 27 0.00126978552250525
28160 27.5 0.00126914107628089
28672 28 0.00126846142970462
29184 28.5 0.00126774220043869
29696 29 0.0012669743664034
30208 29.5 0.00126615124987485
30720 30 0.00126527227553573
31232 30.5 0.00126434314529509
31744 31 0.00126337352389065
32256 31.5 0.00126237175574324
32768 32 0.00126133928471278
33280 32.5 0.00126027137413734
33792 33 0.00125916555143163
34304 33.5 0.00125802914673054
34816 34 0.0012568770391375
35328 34.5 0.00125572194990283
35840 35 0.00125456777677162
36352 35.5 0.00125341197119714
36864 36 0.00125225338152206
37376 36.5 0.00125109811250094
37888 37 0.00124995899983012
38400 37.5 0.00124884912679954
38912 38 0.00124777429232519
39424 38.5 0.00124673160910486
39936 39 0.00124571625814586
40448 39.5 0.00124473037452854
40960 40 0.00124378470762282
41472 40.5 0.00124289041186151
41984 41 0.00124204921211104
42496 41.5 0.00124125312969818
43008 42 0.00124049496579786
43520 42.5 0.00123977789995889
44032 43 0.00123911264296162
44544 43.5 0.00123850531014008
45056 44 0.00123795097508684
45568 44.5 0.0012374408701555
46080 45 0.00123697362058399
46592 45.5 0.00123655580697722
47104 46 0.00123619197853014
47616 46.5 0.00123587821175162
48128 47 0.0012356074861358
48640 47.5 0.00123537839652055
49152 48 0.00123519475326355
49664 48.5 0.00123505730137751
50176 49 0.00123495991364863
50688 49.5 0.00123489570061877
51200 50 0.00123486424895187
51712 50.5 0.00123486982011342
52224 51 0.00123491295039456
52736 51.5 0.0012349867781554
53248 52 0.001235083080851
53760 52.5 0.00123520028572327
54272 53 0.00123534314808281
54784 53.5 0.00123551451246461
55296 54 0.0012357098173887
55808 54.5 0.00123592134825334
56320 55 0.00123614625347267
56832 55.5 0.00123638754930754
57344 56 0.00123664745567555
57856 56.5 0.00123692299707806
58368 57 0.00123720963227239
58880 57.5 0.00123750645900462
59392 58 0.001237814937381
59904 58.5 0.00123813395426753
60416 59 0.00123845979358968
60928 59.5 0.00123879114963771
61440 60 0.0012391306178707
61952 60.5 0.0012394795127602
62464 61 0.00123983392840432
62976 61.5 0.00124018867865692
63488 62 0.00124054357216158
64000 62.5 0.00124090250621163
64512 63 0.00124126668941809
65024 63.5 0.00124163222352459
65536 64 0.00124199539491798
66048 64.5 0.00124235716668742
66560 65 0.00124271999869914
67072 65.5 0.00124308233551725
67584 66 0.00124343955799864
68096 66.5 0.00124378983768194
68608 67 0.00124413581489658
69120 67.5 0.00124447980332826
69632 68 0.00124481999702174
70144 68.5 0.00124515283923795
70656 69 0.00124547710401926
71168 69.5 0.00124579376413973
71680 70 0.00124610331975522
72192 70.5 0.00124640560817901
72704 71 0.00124670154943592
73216 71.5 0.00124699245227302
73728 72 0.00124727719271198
74240 72.5 0.00124755232306739
74752 73 0.00124781622841931
75264 73.5 0.00124807180012271
75776 74 0.00124832353254803
76288 74.5 0.00124857256498864
76800 75 0.00124881580204167
77312 75.5 0.00124904971720132
77824 76 0.0012492740811753
78336 76.5 0.00124949199179284
78848 77 0.00124970696985039
79360 77.5 0.00124992002405046
79872 78 0.00125012898907041
80384 78.5 0.00125033083094037
80896 79 0.00125052518065148
81408 79.5 0.00125071536403165
81920 80 0.0012509050708377
82432 80.5 0.00125109416101238
82944 81 0.00125127911864093
83456 81.5 0.00125145809529507
83968 82 0.00125163396774781
84480 82.5 0.00125181099533612
84992 83 0.00125198943978718
85504 83.5 0.00125216562769045
86016 84 0.00125233748932961
86528 84.5 0.00125250791936769
87040 85 0.00125268131639685
87552 85.5 0.00125285808787758
88064 86 0.00125303455779644
88576 86.5 0.00125320824908539
89088 87 0.00125338146360322
89600 87.5 0.00125355865456747
90112 88 0.00125374120552469
90624 88.5 0.00125392621930632
91136 89 0.00125411056576759
91648 89.5 0.00125429497526431
92160 90 0.00125448324112254
92672 90.5 0.00125467777404282
93184 91 0.00125487705701403
93696 91.5 0.00125507790279777
94208 92 0.00125527941835424
94720 92.5 0.00125548380037676
95232 93 0.00125569343211981
95744 93.5 0.00125590825302975
96256 94 0.00125612636550429
96768 94.5 0.00125634640201504
97280 95 0.00125656855038724
97792 95.5 0.00125679373171261
98304 96 0.00125702266737994
98816 96.5 0.00125725559976061
99328 97 0.00125749201374772
99840 97.5 0.0012577305515044
100352 98 0.00125797014723758
100864 98.5 0.00125821158694699
101376 99 0.00125845700339561
101888 99.5 0.00125870717197918
102400 100 0.00125896015069628
102912 100.5 0.00125921360944991
103424 101 0.00125946795145801
103936 101.5 0.00125972585931655
104448 102 0.00125998885331581
104960 102.5 0.00126025558446687
105472 103 0.00126052387208635
105984 103.5 0.00126079335048885
106496 104 0.00126106546873022
107008 104.5 0.00126134163887043
107520 105 0.00126162212779067
108032 105.5 0.00126190633002732
108544 106 0.00126219343050369
109056 106.5 0.00126248298178927
109568 107 0.00126277535589061
110080 107.5 0.0012630715528613
110592 108 0.00126337221827228
111104 108.5 0.0012636769403064
111616 109 0.00126398474541396
112128 109.5 0.0012642951017181
112640 110 0.00126460819103842
113152 110.5 0.00126492443201873
113664 111 0.00126524407390931
114176 111.5 0.00126556706058406
114688 112 0.00126589285487915
115200 112.5 0.00126622045906228
115712 113 0.00126654908233964
116224 113.5 0.00126687890850357
116736 114 0.00126721079007148
117248 114.5 0.00126754489291965
117760 115 0.00126787990977113
118272 115.5 0.00126821401120694
118784 116 0.00126854650995341
119296 116.5 0.0012688781791984
119808 117 0.00126920979171451
120320 117.5 0.00126954067491342
120832 118 0.00126986902441835
121344 118.5 0.00127019349968041
121856 119 0.0012705141093991
122368 119.5 0.00127083141125716
122880 120 0.00127114517255925
123392 120.5 0.0012714541899839
123904 121 0.00127175737442412
124416 121.5 0.00127205456889177
124928 122 0.00127234599353239
125440 122.5 0.00127263115619691
125952 123 0.00127290888748372
126464 123.5 0.00127317856375407
126976 124 0.00127344070561257
127488 124.5 0.00127369586207466
128000 125 0.00127394325775982
128512 125.5 0.00127418128608959
129024 126 0.00127440934543596
129536 126.5 0.00127462842079273
130048 127 0.00127483949714661
130560 127.5 0.00127504201185663
131072 128 0.0012752344749597
131584 128.5 0.00127541625699529
132096 129 0.0012755880409857
132608 129.5 0.00127575057345697
133120 130 0.00127590367702642
133632 130.5 0.00127604670376092
134144 131 0.00127617937996395
134656 131.5 0.00127630178057646
135168 132 0.00127641383583471
135680 132.5 0.00127651539752524
136192 133 0.0012766066866991
136704 133.5 0.00127668815634759
137216 134 0.00127675977725186
137728 134.5 0.00127682084878356
138240 135 0.00127687080830566
138752 135.5 0.00127691003448883
139264 136 0.00127693950733817
139776 136.5 0.00127695965956851
140288 137 0.00127696984640799
140800 137.5 0.00127696912373505
141312 138 0.00127695740372898
141824 138.5 0.00127693558861653
142336 139 0.00127690453741886
142848 139.5 0.00127686414170416
143360 140 0.00127681361384574
143872 140.5 0.00127675255311626
144384 141 0.0012766814220472
144896 141.5 0.00127660092545863
145408 142 0.0012765112370883
145920 142.5 0.00127641208506113
146432 143 0.00127630339289528
146944 143.5 0.00127618544575496
147456 144 0.00127605843765592
147968 144.5 0.0012759222838327
148480 145 0.00127577709358145
148992 145.5 0.00127562348661809
149504 146 0.00127546204506813
150016 146.5 0.00127529261761054
150528 147 0.00127511464805358
151040 147.5 0.00127492823884978
151552 148 0.00127473441928484
152064 148.5 0.00127453410858749
152576 149 0.00127432718267315
153088 149.5 0.00127411298897722
153600 150 0.00127389161175051
154112 150.5 0.00127366413126303
154624 151 0.00127343156775473
155136 151.5 0.00127319402316843
155648 152 0.00127295115046708
156160 152.5 0.00127270317405844
156672 153 0.00127245102289476
157184 153.5 0.00127219551633737
157696 154 0.00127193683789775
158208 154.5 0.00127167495755239
158720 155 0.00127141025749581
