# Scalar ASCII output created by CarpetIOScalar
# created on cn127.nlhpc.cl by student32 on Nov 13 2023 at 23:38:57-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET_dx1/output-0000/tov_ET_dx1.par"
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000163839998067005
512 0.25 0.000163659382319273
1024 0.5 0.000163476780431232
1536 0.75 0.000163295464845933
2048 1 0.000163120900032477
2560 1.25 0.000162958969998447
3072 1.5 0.000162812347070862
3584 1.75 0.000162683689604094
4096 2 0.000162575211735498
4608 2.25 0.000162487851155243
5120 2.5 0.000162421851510587
5632 2.75 0.000162376861392996
6144 3 0.00016235200032664
6656 3.25 0.000162345912239338
7168 3.5 0.00016235684028985
7680 3.75 0.000162382738604253
8192 4 0.000162421407062485
8704 4.25 0.000162470613244404
9216 4.5 0.000162528165188448
9728 4.75 0.000162591933116223
10240 5 0.000162659852075682
10752 5.25 0.000162729944687516
11264 5.5 0.000162800384220534
11776 5.75 0.000162869562408838
12288 6 0.000162936130736669
12800 6.25 0.000162999000198983
13312 6.5 0.000163057311147288
13824 6.75 0.00016311040263741
14336 7 0.000163157805665222
14848 7.25 0.000163199261365891
15360 7.5 0.000163234742802936
15872 7.75 0.000163264471809853
16384 8 0.00016328887441234
16896 8.25 0.000163308468032479
17408 8.5 0.000163323755858086
17920 8.75 0.00016333515826583
18432 9 0.000163343040352344
18944 9.25 0.000163347847635943
19456 9.5 0.000163350250202487
19968 9.75 0.000163351123572588
20480 10 0.000163351302954149
20992 10.25 0.000163351298872646
21504 10.5 0.000163351273361634
22016 10.75 0.000163351332131998
22528 11 0.000163351816697791
23040 11.25 0.000163353262703946
23552 11.5 0.000163356097289975
24064 11.75 0.00016336045018672
24576 12 0.000163366244802637
25088 12.25 0.000163373356077023
25600 12.5 0.000163381635830886
26112 12.75 0.000163390905848712
26624 13 0.000163401045790162
27136 13.25 0.000163412041639384
27648 13.5 0.000163423852118593
28160 13.75 0.000163436267168488
28672 14 0.000163448989874627
29184 14.25 0.000163461810273394
29696 14.5 0.000163474588397813
30208 14.75 0.00016348711896499
30720 15 0.000163499175886266
31232 15.25 0.000163510698228019
31744 15.5 0.000163521778912967
32256 15.75 0.000163532422202596
32768 16 0.000163542430077211
33280 16.25 0.000163551572848655
33792 16.5 0.000163559764080251
34304 16.75 0.000163567027032403
34816 17 0.000163573409042467
35328 17.25 0.000163578997306838
35840 17.5 0.000163583914898724
36352 17.75 0.00016358820920819
36864 18 0.000163591800162476
37376 18.25 0.000163594600146814
37888 18.5 0.00016359663641688
38400 18.75 0.000163598022688971
38912 19 0.000163598887480157
39424 19.25 0.000163599378522071
39936 19.5 0.000163599651128233
40448 19.75 0.000163599769706564
40960 20 0.000163599677459042
41472 20.25 0.00016359935773069
41984 20.5 0.000163599015772308
42496 20.75 0.000163599036649502
43008 21 0.000163599748397907
43520 21.25 0.00016360123969642
44032 21.5 0.000163603391002615
44544 21.75 0.000163606027615156
45056 22 0.000163609048795757
45568 22.25 0.00016361241890617
46080 22.5 0.000163616030143593
46592 22.75 0.000163619585790088
47104 23 0.000163622607600809
47616 23.25 0.000163624641889827
48128 23.5 0.000163625425285065
48640 23.75 0.000163624893954361
49152 24 0.000163623110111448
49664 24.25 0.000163620191798456
50176 24.5 0.000163616250565432
50688 24.75 0.000163611352540028
51200 25 0.000163605558236567
51712 25.25 0.000163599014811449
52224 25.5 0.000163591972116334
52736 25.75 0.000163584665084275
53248 26 0.000163577178293239
53760 26.25 0.000163569444152438
54272 26.5 0.00016356138081049
54784 26.75 0.000163553031397409
55296 27 0.000163544565121734
55808 27.25 0.000163536130720092
56320 27.5 0.000163527707731935
56832 27.75 0.00016351912997642
57344 28 0.000163510277427796
57856 28.25 0.000163501212404545
58368 28.5 0.000163492072123055
58880 28.75 0.000163482831147158
59392 29 0.000163473231074414
59904 29.25 0.000163462974608782
60416 29.5 0.000163451955219393
60928 29.75 0.000163440271451258
61440 30 0.00016342805279428
61952 30.25 0.000163415313988629
62464 30.5 0.000163401959103831
62976 30.75 0.000163387875433633
63488 31 0.000163373012666041
64000 31.25 0.00016335739816458
64512 31.5 0.00016334107915785
65024 31.75 0.000163324021122546
65536 32 0.000163306054171685
66048 32.25 0.000163286949045521
66560 32.5 0.00016326656709794
67072 32.75 0.000163244918629376
67584 33 0.000163222052753711
68096 33.25 0.000163197900937153
68608 33.5 0.000163172254446745
69120 33.75 0.000163144901580069
69632 34 0.000163115774390501
70144 34.25 0.000163084947526827
70656 34.5 0.000163052484210082
71168 34.75 0.000163018284824849
71680 35 0.00016298211105758
72192 35.25 0.000162943788268123
72704 35.5 0.000162903374442738
73216 35.75 0.00016286108450981
73728 36 0.000162817034749509
74240 36.25 0.000162771110816366
74752 36.5 0.00016272312837945
75264 36.75 0.000162673085542351
75776 37 0.000162621188748749
76288 37.25 0.000162567634507588
76800 37.5 0.00016251243979196
77312 37.75 0.000162455524573732
77824 38 0.000162396913472843
78336 38.25 0.000162336800583647
78848 38.5 0.000162275430334448
79360 38.75 0.000162212964407093
79872 39 0.000162149468786514
80384 39.25 0.000162084984196387
80896 39.5 0.000162019583871337
81408 39.75 0.000161953395668342
81920 40 0.00016188661122127
82432 40.25 0.000161819468202721
82944 40.5 0.000161752182856576
83456 40.75 0.000161684884205424
83968 41 0.000161617635867073
84480 41.25 0.000161550528161879
84992 41.5 0.000161483717015912
85504 41.75 0.000161417363844137
86016 42 0.000161351595584481
86528 42.25 0.000161286577927574
87040 42.5 0.000161222584716774
87552 42.75 0.000161159898969303
88064 43 0.000161098626370121
88576 43.25 0.000161038678854922
89088 43.5 0.000160979986267638
89600 43.75 0.000160922684672699
90112 44 0.000160867058800518
90624 44.25 0.000160813327404451
91136 44.5 0.000160761520324994
91648 44.75 0.000160711553784804
92160 45 0.000160663409385632
92672 45.25 0.000160617254492618
93184 45.5 0.000160573388296185
93696 45.75 0.000160532036245763
94208 46 0.000160493194890642
94720 46.25 0.000160456727085402
95232 46.5 0.000160422615581285
95744 46.75 0.00016039104239457
96256 47 0.000160362165556936
96768 47.25 0.000160335889622328
97280 47.5 0.000160311958561945
97792 47.75 0.000160290260573286
98304 48 0.000160270945219629
98816 48.25 0.000160254220432457
99328 48.5 0.000160240117964286
99840 48.75 0.000160228504883526
100352 49 0.000160219253934216
100864 49.25 0.000160212319387564
101376 49.5 0.000160207678129595
101888 49.75 0.000160205299626495
102400 50 0.000160205202013955
102912 50.25 0.000160207459991592
103424 50.5 0.000160212090110734
103936 50.75 0.000160218954616414
104448 51 0.000160227841027646
104960 51.25 0.00016023864542462
105472 51.5 0.000160251438779232
105984 51.75 0.000160266332043626
106496 52 0.000160283291832761
107008 52.25 0.000160302108417274
107520 52.5 0.000160322546384873
108032 52.75 0.000160344515899854
108544 53 0.000160368085018069
109056 53.25 0.000160393326152382
109568 53.5 0.00016042016902774
110080 53.75 0.000160448412062727
110592 54 0.00016047785120027
111104 54.25 0.000160508370366529
111616 54.5 0.000160539929930463
112128 54.75 0.000160572517097812
112640 55 0.000160606107491003
113152 55.25 0.000160640623644175
113664 55.5 0.000160675912069212
114176 55.75 0.00016071180361172
114688 56 0.000160748225364751
115200 56.25 0.000160785218700511
115712 56.5 0.000160822807039559
116224 56.75 0.000160860865235436
116736 57 0.000160899166150444
117248 57.25 0.000160937560543254
117760 57.5 0.000160976072541033
118272 57.75 0.000161014793328334
118784 58 0.000161053699971153
119296 58.25 0.000161092614665076
119808 58.5 0.000161131351022919
120320 58.75 0.000161169869790256
120832 59 0.000161208255276048
121344 59.25 0.000161246546622118
121856 59.5 0.000161284641849155
122368 59.75 0.000161322395895357
122880 60 0.000161359775803067
123392 60.25 0.00016139686252528
123904 60.5 0.000161433701005908
124416 60.75 0.00016147020271174
124928 61 0.00016150621794759
125440 61.25 0.000161541654686589
125952 61.5 0.000161576477429806
126464 61.75 0.000161610623541854
126976 62 0.000161644002225351
127488 62.25 0.000161676591579351
128000 62.5 0.000161708465215309
128512 62.75 0.000161739676076067
129024 63 0.000161770166947439
129536 63.25 0.000161799863978591
130048 63.5 0.000161828829305002
130560 63.75 0.000161857240014585
131072 64 0.000161885211988497
131584 64.25 0.000161912708097348
132096 64.5 0.000161939621051383
132608 64.75 0.00016196586775874
133120 65 0.000161991378878714
133632 65.25 0.000162016077814842
134144 65.5 0.000162039926527825
134656 65.75 0.000162062938057005
135168 66 0.000162085090575307
135680 66.25 0.000162106284575353
136192 66.5 0.000162126461656848
136704 66.75 0.000162145736491474
137216 67 0.000162164330336427
137728 67.25 0.000162182372771381
138240 67.5 0.000162199827467088
138752 67.75 0.000162216609364466
139264 68 0.000162232704123224
139776 68.25 0.000162248148871668
140288 68.5 0.000162262952502902
140800 68.75 0.000162277078453462
141312 69 0.000162290480149463
141824 69.25 0.000162303121141771
142336 69.5 0.000162314984707548
142848 69.75 0.00016232610866012
143360 70 0.000162336607703204
143872 70.25 0.000162346612566582
144384 70.5 0.000162356154561196
144896 70.75 0.000162365128692641
145408 71 0.000162373406680665
145920 71.25 0.000162380987295671
146432 71.5 0.000162388001991117
146944 71.75 0.000162394558976755
147456 72 0.000162400614312203
147968 72.25 0.000162406027086169
148480 72.5 0.000162410720828353
148992 72.75 0.000162414754272912
149504 73 0.000162418249710671
150016 73.25 0.000162421303586466
