# Scalar ASCII output created by CarpetIOScalar
# created on cn127.nlhpc.cl by student32 on Nov 13 2023 at 23:38:57-0300
# parameter filename: "/home/courses/student32/simulations/tov_ET_dx1/output-0000/tov_ET_dx1.par"
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.25 0.00127929426763069
1024 0.5 0.00127858038633178
1536 0.75 0.0012778711392231
2048 1 0.00127718792678477
2560 1.25 0.00127655383747983
3072 1.5 0.00127597941625585
3584 1.75 0.00127547516480759
4096 2 0.00127504984896865
4608 2.25 0.00127470722581793
5120 2.5 0.00127444831794227
5632 2.75 0.00127427179751023
6144 3 0.00127417424368349
6656 3.25 0.00127415035313474
7168 3.5 0.00127419323609039
7680 3.75 0.00127429485835992
8192 4 0.00127444657425286
8704 4.25 0.00127463960884794
9216 4.5 0.00127486534656978
9728 4.75 0.00127511541876108
10240 5 0.00127538171570586
10752 5.25 0.00127565647682876
11264 5.5 0.00127593253826578
11776 5.75 0.00127620359821166
12288 6 0.00127646437763327
12800 6.25 0.00127671061795139
13312 6.5 0.00127693896152983
13824 6.75 0.00127714683038956
14336 7 0.00127733239865441
14848 7.25 0.00127749466286905
15360 7.5 0.00127763352649708
15872 7.75 0.00127774986523127
16384 8 0.00127784535219384
16896 8.25 0.00127792201652714
17408 8.5 0.00127798183030154
17920 8.75 0.00127802644051612
18432 9 0.00127805727709029
18944 9.25 0.00127807608394783
19456 9.5 0.00127808548306632
19968 9.75 0.00127808889977415
20480 10 0.00127808960153093
20992 10.25 0.00127808958556373
21504 10.5 0.00127808948576238
22016 10.75 0.00127808971567726
22528 11 0.00127809161134009
23040 11.25 0.00127809726822314
23552 11.5 0.00127810835726074
24064 11.75 0.00127812538581596
24576 12 0.00127814805403223
25088 12.25 0.00127817587239403
25600 12.5 0.00127820826092968
26112 12.75 0.00127824452218154
26624 13 0.00127828418510972
27136 13.25 0.00127832719457651
27648 13.5 0.00127837338879763
28160 13.75 0.00127842194587111
28672 14 0.00127847170431976
29184 14.25 0.00127852184288495
29696 14.5 0.00127857181416537
30208 14.75 0.00127862081542962
30720 15 0.00127866796271067
31232 15.25 0.00127871301795211
31744 15.5 0.0012787563447075
32256 15.75 0.00127879795981459
32768 16 0.0012788370892229
33280 16.25 0.00127887283515076
33792 16.5 0.00127890485994953
34304 16.75 0.00127893325483546
34816 17 0.00127895820511253
35328 17.25 0.00127898005186492
35840 17.5 0.00127899927638261
36352 17.75 0.00127901606404372
36864 18 0.00127903010192285
37376 18.25 0.00127904104760877
37888 18.5 0.00127904900772754
38400 18.75 0.00127905442686764
38912 19 0.00127905780745108
39424 19.25 0.00127905972699507
39936 19.5 0.00127906079264526
40448 19.75 0.00127906125618191
40960 20 0.00127906089557551
41472 20.25 0.00127905964571903
41984 20.5 0.00127905830896136
42496 20.75 0.00127905839057293
43008 21 0.00127906117288387
43520 21.25 0.00127906700253122
44032 21.5 0.00127907541217325
44544 21.75 0.00127908571884435
45056 22 0.00127909752871217
45568 22.25 0.00127911070242638
46080 22.5 0.0012791248185521
46592 22.75 0.00127913871722377
47104 23 0.00127915052906532
47616 23.25 0.00127915848075923
48128 23.5 0.00127916154290639
48640 23.75 0.0012791594660337
49152 24 0.00127915249329956
49664 24.25 0.00127914108603569
50176 24.5 0.00127912568016373
50688 24.75 0.0012791065340308
51200 25 0.00127908388402234
51712 25.25 0.00127905830520524
52224 25.5 0.00127903077412678
52736 25.75 0.00127900220908439
53248 26 0.00127897294065683
53760 26.25 0.00127894270455106
54272 26.5 0.0012789111806943
54784 26.75 0.00127887853761571
55296 27 0.00127884543679733
55808 27.25 0.00127881245974573
56320 27.5 0.0012787795264702
56832 27.75 0.00127874598719378
57344 28 0.0012787113725458
57856 28.25 0.00127867592612259
58368 28.5 0.00127864018442662
58880 28.75 0.00127860404796465
59392 29 0.00127856650618736
59904 29.25 0.00127852639632032
60416 29.5 0.00127848330149202
60928 29.75 0.00127843760681254
61440 30 0.00127838981846024
61952 30.25 0.00127833999385386
62464 30.5 0.00127828775752501
62976 30.75 0.00127823266831056
63488 31 0.00127817452902974
64000 31.25 0.00127811344631288
64512 31.5 0.00127804960450622
65024 31.75 0.00127798286812674
65536 32 0.00127791257201612
66048 32.25 0.00127783781852597
66560 32.5 0.00127775806433746
67072 32.75 0.00127767334882346
67584 33 0.00127758386321099
68096 33.25 0.00127748933826139
68608 33.5 0.00127738895582648
69120 33.75 0.00127728188580309
69632 34 0.00127716786050425
70144 34.25 0.00127704717033799
70656 34.5 0.00127692006096733
71168 34.75 0.00127678614037296
71680 35 0.00127664447305262
72192 35.25 0.00127649437236567
72704 35.5 0.00127633606249584
73216 35.75 0.00127617038247175
73728 36 0.00127599778506669
74240 36.25 0.00127581781934713
74752 36.5 0.00127562975968519
75264 36.75 0.00127543359506621
75776 37 0.00127523013118711
76288 37.25 0.00127502013516489
76800 37.5 0.00127480367034285
77312 37.75 0.00127458041948609
77824 38 0.00127435047562609
78336 38.25 0.00127411459682262
78848 38.5 0.00127387373916903
79360 38.75 0.00127362853457
79872 39 0.00127337923960819
80384 39.25 0.00127312601181653
80896 39.5 0.00127286913652322
81408 39.75 0.00127260911386153
81920 40 0.00127234669497457
82432 40.25 0.00127208281256654
82944 40.5 0.00127181831586346
83456 40.75 0.00127155371182434
83968 41 0.00127128925059198
84480 41.25 0.00127102528756071
84992 41.5 0.00127076243655497
85504 41.75 0.00127050133350633
86016 42 0.00127024247915302
86528 42.25 0.00126998652720245
87040 42.5 0.00126973455775912
87552 42.75 0.00126948768788556
88064 43 0.00126924633688706
88576 43.25 0.00126901016093222
89088 43.5 0.00126877888644018
89600 43.75 0.00126855305238961
90112 44 0.00126833378414563
90624 44.25 0.00126812194762354
91136 44.5 0.00126791766422349
91648 44.75 0.0012677206071718
92160 45 0.00126753070726366
92672 45.25 0.0012673486280129
93184 45.5 0.00126717555333184
93696 45.75 0.00126701237660002
94208 46 0.00126685908802298
94720 46.25 0.00126671514984783
95232 46.5 0.00126658049717057
95744 46.75 0.00126645585155808
96256 47 0.00126634183993476
96768 47.25 0.00126623808828486
97280 47.5 0.00126614358807343
97792 47.75 0.00126605789983431
98304 48 0.00126598161605779
98816 48.25 0.00126591555971343
99328 48.5 0.0012658598578211
99840 48.75 0.00126581398666442
100352 49 0.0012657774446332
100864 49.25 0.00126575005189636
101376 49.5 0.00126573171774115
101888 49.75 0.00126572232194307
102400 50 0.00126572193634287
102912 50.25 0.00126573085603375
103424 50.5 0.00126574914620052
103936 50.75 0.00126577626228498
104448 51 0.00126581136441275
104960 51.25 0.00126585404144641
105472 51.5 0.00126590457294076
105984 51.75 0.00126596339616762
106496 52 0.00126603037812195
107008 52.25 0.0012661046892626
107520 52.5 0.00126618539868723
108032 52.75 0.00126627215044734
108544 53 0.00126636521200667
109056 53.25 0.00126646486786007
109568 53.5 0.00126657083902852
110080 53.75 0.00126668232822096
110592 54 0.00126679852857615
111104 54.25 0.00126691898070291
111616 54.5 0.00126704352699685
112128 54.75 0.00126717211576728
112640 55 0.00126730464960484
113152 55.25 0.00126744082167246
113664 55.5 0.00126758002536018
114176 55.75 0.00126772159251044
114688 56 0.00126786523481304
115200 56.25 0.00126801111470094
115712 56.5 0.00126815932374272
116224 56.75 0.0012683093677626
116736 57 0.00126846035078139
117248 57.25 0.00126861168425667
117760 57.5 0.00126876346314446
118272 57.75 0.00126891604658596
118784 58 0.00126906934393339
119296 58.25 0.00126922265448217
119808 58.5 0.00126937524405874
120320 58.75 0.00126952695832053
120832 59 0.00126967812959052
121344 59.25 0.0012698289121851
121856 59.5 0.00126997890474273
122368 59.75 0.00127012753649134
122880 60 0.00127027467818212
123392 60.25 0.00127042064893987
123904 60.5 0.00127056562603396
124416 60.75 0.00127070926144315
124928 61 0.001270850966666
125440 61.25 0.00127099038031997
125952 61.5 0.00127112736352345
126464 61.75 0.00127126167071085
126976 62 0.00127139294565194
127488 62.25 0.00127152110316483
